dmel	dsim
CG14408	GD15836
CG14411	GD17180
CG14410	GD17181
CG14407	GD15835
CG12539	GD15833
CG9522	GD24504
CG9518	GD15509
CG9514	GD15831
CG9512	GD15829
CG9509	GD27819
CG14406	GD24503
CG12398	GD22252
Eo	GD29422
CG9030	GD24502
hiw	GD15825
CG5541	GD17186
ND-B18	GD17187
dob	GD17188
Lsd-2	GD15823
CG9065	GD15822
CG15027	GD15821
CG5599	GD17193
Rab3-GEF	GD24817
CG9072	GD15820
Cyp4s3	GD27418
RpL37a	GD27903
CG9095	GD15819
CG5662	GD17197
CG9101	GD15814
PPYR1	GD15813
CG9106	GD26802
CG5877	GD17202
CG9114	GD15810
CG6227	GD17208
CG9164	GD15802
CG11655	GD17211
CG6294	GD24818
CG6299	GD24819
CG15642	GD24500
CG15641	GD27607
CG6308	GD24820
CG6324	GD24821
CG6340	GD17213
CG7860	GD24689
CG15643	GD24664
CG9213	GD24524
CG7872	GD17221
CG9215	GD15791
CG8097	GD17218
CG8105	GD17219
CG9220	GD15794
CG8117	GD17224
CG8119	GD17225
CG15599	GD15787
CG8128	GD17228
CG9240	GD15786
Pis	GD15785
CG8134	GD27996
CG9281	GD15784
CG15601	GD17229
CG8184	GD17230
CG8191	GD17231
CG12379	GD15783
CG11679	GD15781
CG8206	GD17233
CG8944	GD15780
CG8239	GD29521
CG8260	GD28892
Graf	GD24498
mRpL3	GD17236
CG17209	GD17239
CG8952	GD15779
Efhc1.1	GD15778
mRpS30	GD17243
CG15602	GD24679
PGRP-LE	GD24678
CG8509	GD26877
CG8565	GD29529
CG8578	GD24680
CG15914	GD24681
CG16952	GD17249
MSBP	GD24671
CG15916	GD24682
Lrp4	GD17251
CG8916	GD24823
CG8924	GD17252
Or13a	GD17258
CG9170	GD15768
CG8931	GD17260
ND-20	GD15767
eIF5	GD15766
CG8939	GD24825
CG12395	GD15765
dpr18	GD17264
Nipsnap	GD15763
CG12507	GD27199
Mfe2	GD29376
CG9911	GD15757
CG3632	GD17273
CG9914	GD24495
CG9915	GD28938
SWIP	GD28876
CG9917	GD15756
CG9919	GD15755
CG9921	GD15754
CG9992	GD15752
CG4239	GD17283
CG9981	GD24493
CG4301	GD24836
Traf-like	GD27764
AnxB11	GD15750
CG9947	GD27160
CG9903	GD15744
CG13014	GD17287
CG9784	GD27861
CG9782	GD15740
mthl1	GD17291
CG9723	GD15737
CG13012	GD28462
CG13010	GD15735
CG9673	GD15728
CG4653	GD17298
CG9672	GD15727
CG4678	GD24843
CG13008	GD17296
mRpL22	GD17306
CG9609	GD15724
Sap30	GD28580
Rrp45	GD15722
CG4768	GD17308
CG9132	GD15721
CG4789	GD17309
CG9125	GD15720
CG13005	GD17310
ppk28	GD17312
CG4829	GD17313
CG13004	GD15719
CG4872	GD17316
Nprl2	GD15716
Rcp	GD17317
DENR	GD15715
CG4880	GD17318
CG13002	GD17320
wus	GD15712
CG13001	GD29570
CG13000	GD24492
RhoGAP15B	GD17324
Ubr1	GD15711
wcy	GD15705
CG4949	GD17325
CG4955	GD17326
CG8945	GD15704
CG16700	GD17327
CG4991	GD17328
CG8918	GD15693
CG12995	GD15692
CG5162	GD17338
CG8915	GD15688
CG8675	GD15685
CG8664	GD15682
CG8661	GD15681
CG5445	GD15665
CG5613	GD15670
p-cup	GD17357
CG8568	GD17356
ppk23	GD24489
CG12992	GD15672
CG12991	GD15673
stas	GD17353
CG8326	GD17352
ND-24	GD15675
CG8289	GD17350
CG5800	GD15676
IntS2	GD17348
CG12990	GD17347
CG8188	GD17343
CG8173	GD17342
CG12986	GD24487
Socs16D	GD29365
CG6398	GD17365
CG8142	GD15662
Ucp4A	GD14942
CG15814	GD24486
Spt7	GD27302
CG6762	GD17370
Arp8	GD15659
CG6769	GD17371
CG6788	GD17373
CG12985	GD17372
CG7772	GD15657
CG6847	GD17376
CG6867	GD17379
CG15373	GD17382
CG7536	GD24484
Ada3	GD27178
CG7206	GD15653
RhoGAP16F	GD17385
Mvb12	GD24483
CG7135	GD24685
Frq1	GD24850
Andorra	GD24668
Hesr	GD24666
Him	GD24688
upd2	GD15650
CG15059	GD24478
CG6023	GD15647
CG6123	GD15646
CG6106	GD17391
CG6179	GD17393
CG6290	GD17395
CG15046	GD29261
CG15044	GD15632
CG15043	GD15631
GalNAc-T2	GD15630
Xrcc2	GD17397
Ggt-1	GD24475
CG6470	GD15627
CG6481	GD29478
CG15042	GD24474
CG15047	GD24855
CG15040	GD27750
wgn	GD28052
CG6540	GD24856
CG6617	GD24473
Ing3	GD24472
CG6659	GD24471
CG6696	GD24468
Cyp308a1	GD17403
CG6873	GD15622
CG12609	GD15621
CCKLR-17D3	GD15618
CG6891	GD17404
Atg101	GD28388
CG7058	GD17407
CG7101	GD17411
Pvf1	GD17412
CG7280	GD15611
CG7322	GD24467
Usp39	GD24862
CG7326	GD15612
CG7332	GD17416
CG7358	GD28480
SdhBL	GD17417
CG7378	GD17418
CG14190	GD27419
CG7423	GD15607
CG15882	GD24466
tgy	GD24465
Obp18a	Obp18a
Inx5	GD15600
CG7556	GD15599
CG7453	GD17426
CG33253	GD17427
Mec2	GD17429
CG7914	GD15598
CG14194	GD17431
CG7990	GD15597
CG14195	GD15593
Mur18B	GD17434
Muc18B	GD17435
CG7884	GD17436
CG14196	GD15591
CG7889	GD17437
CG7992	GD15589
Hs3st-B	GD24871
rictor	GD24462
CG8010	GD15588
CG8028	GD24461
CG8034	GD28488
CG8051	GD15585
kek5	GD28076
Naa15-16	GD27583
ND-18	GD17444
CG12204	GD15581
CG14200	GD26015
CG12231	GD15578
Tao	GD15575
CG14204	GD17448
CG14220	GD15572
CG14207	GD24875
Tyler	GD27383
Shawn	GD24876
CG14210	GD29006
CG12788	GD24457
CG14221	GD24456
Naa20A	GD29531
MKP-4	GD27279
CG14212	GD17453
Rcd-1	GD27867
CG12237	GD24455
Arp10	GD24454
Ranbp21	GD24453
CG14215	GD26978
CG14223	GD29545
Ssu72	GD17455
et	GD24452
Ubqn	GD15764
CG14227	GD24450
CG14229	GD24449
CG14231	GD15569
CG14232	GD15568
CG14230	GD17457
CG12531	GD17458
CG14234	GD28759
COX6B	CoVIb
Alr	GD17467
Pmp70	GD17461
CG12702	GD15566
THADA	GD15559
Nup205	GD17470
CG12655	GD18725
Nep3	GD20688
CG17003	GD15558
CG9570	GD17474
fd19B	GD15555
CG9572	GD17480
Rab35	GD15551
Phf7	GD27290
CG9577	GD28939
CG9581	GD29179
CG9578	GD28137
obst-A	GD28301
CG17068	GD15548
CG17065	GD29080
CG1504	GD15547
CG12679	GD21775
Syx16	GD15538
HERC2	GD17489
Obp19a	Obp19a
Obp19b	GD27125
Obp19c	Obp19c
cactin	GD28616
CG11710	GD24442
CG1695	GD17491
GstT3	GD17492
RhoGAP19D	GD15533
CG1812	GD28672
Cyp6v1	GD17497
hydra	GD15526
CG1324	GD15525
CG15452	GD15523
CG15450	GD24693
CG1314	GD24656
CG11227	GD15520
r-cup	r-cup
CG1532	GD15515
CG1529	GD15514
Ntf-2	Ntf-2
CG15449	GD15513
Cbs	GD17507
Stt3A	GD24643
bves	GD17511
CG15446	GD24437
CG1503	GD24436
CG11566	GD17516
CG14579	GD17522
CG1724	GD24434
CG1494	GD17526
CG1718	GD17314
CG1801	GD15502
CG1486	GD24887
Cyp6t1	GD24431
CG14621	GD17541
CG14615	GD24428
Usp2	GD17542
CG14613	GD15486
CG14618	GD17543
CG12576	GD15485
Cp110	Cp110
CG17598	GD15484
CG17600	GD17551
CG17599	GD15483
CG17601	GD24891
CG12446	GD24426
Ir21a	GD22995
galectin	GD22998
CG11374	GD27659
Zir	GD22999
CG11377	GD23000
CG13694	GD22990
CG4822	GD22989
CG11454	GD23003
CG3709	GD22981
ND-15	GD23004
CG3436	GD23005
mRpL10	GD23008
CG11617	GD22979
Tbc1d15-17	GD23009
CG13693	GD23010
CG3645	GD22975
CG17075	GD22974
CG3345	GD23011
CG11601	GD22971
CG3625	GD22970
CG11562	GD23014
CG11912	GD22966
CG11911	GD22965
Ent1	GD22962
CG4213	GD22961
CG13690	GD22959
CG11885	GD22958
CG13692	GD23024
BBS8	GD23025
shv	GD23027
CG4133	GD23028
CG4297	GD22955
Spp	GD22952
nAChRbeta3	GD23031
Tspo	GD23032
CG11835	GD22950
CG2794	GD23033
Sf3b1	GD28712
Ipk2	GD22857
cold	GD23035
CG13689	GD23037
CG2839	GD23040
GABA-B-R3	GD23042
CG3544	GD23045
Saf6	GD22941
Pex12	GD23049
CG15880	GD22940
PGAP2	GD22939
CG3662	GD27934
CG3862	GD28344
CG4291	GD22937
CG13949	GD23052
CG13950	GD29564
CG15824	GD28300
IA-2	GD22933
CG4375	GD22934
CG4415	GD23064
Atg4a	GD23066
CG4629	GD22930
CG14339	GD23067
CG14340	GD23068
CG4552	GD23069
Iris	GD22926
CG4577	GD23070
MFS3	GD23071
Tfb4	GD22925
Vps29	GD23074
Tango14	GD23075
CG5080	GD22923
IntS14	GD23076
CG14341	GD23077
Charon	GD22921
CG5126	GD22920
Tgt	GD23082
CG5001	GD23083
CG5139	GD22918
CG14342	GD23088
CG5397	GD23091
CG5440	GD23095
CG5565	GD22912
CG14346	GD23097
CG18131	GD22908
CG7420	GD22907
CG18132	GD22906
CG10869	GD22904
CG14352	GD23105
CG17660	GD22897
mRpL48	GD23111
Rim2	GD22900
CG31937	GD23108
CG17652	GD22898
CG17648	GD23113
CG17650	GD22894
c-cup	GD22889
CG7295	GD23118
CG15358	GD11996
Wdr62	GD23119
erm	GD22883
CG15356	GD22882
CG15362	GD23121
CG7289	GD23123
Npc2a	GD23124
CG4238	GD23127
CG12674	GD23131
CG4259	GD22875
tho2	GD22873
CG11723	GD22872
AIF	GD23134
CG15382	GD23135
CG10874	GD22870
CG15385	GD22866
CG10880	GD22864
mio	GD23137
papi	GD23138
CG15387	GD22861
CG4270	GD23143
CG4271	GD23144
CG17237	GD22845
CG16995	GD23146
CG9967	GD22842
eys	GD23147
CG3597	GD22840
CG3609	GD22839
CG15390	GD23149
Atxn7	GD23150
PIG-Wa	GD23153
CG3557	GD22838
VGlut	GD23154
CG18641	GD29003
CG9886	GD23155
CG3528	GD22828
CG3515	GD22827
insv	GD22821
Elba2	GD23161
ND-B17.2	GD22820
Arpc5	GD23162
CG15395	GD23164
CG9962	GD22814
Prosbeta4R1	GD23166
Prosbeta4R2	GD23168
CG9879	GD23169
CG15398	GD22812
CG31689	GD23174
Hrs	GD23175
CG9961	GD22811
Cwc25	GD23176
CG9960	GD22808
Snapin	GD22807
Tnpo-SR	GD23178
CG3077	GD22806
aph-1	GD23180
CG2862	GD23182
CG15399	GD22803
daw	GD23183
CG2964	GD23184
G6P	GD22801
CG3119	GD22798
Cpr23B	GD23185
CG2975	GD23186
CG18558	GD22797
CG18557	GD22796
CG2983	GD23187
CG3104	GD22794
CG2991	GD23189
CG8813	GD23190
CG8814	GD23191
Prx6005	GD22792
CG9641	GD22789
CG3165	GD23197
CG9643	GD22788
CG17265	GD12010
CG17224	GD12000
CG17264	GD12004
alpha4GT1	GD11999
CG3542	GD12006
Sf3b2	GD28072
CG17219	GD23200
GABPI	GD23201
CG17258	GD22785
SerRS	GD22783
CG17260	GD23202
CG17221	GD23203
CG17261	GD23204
CG15403	GD23209
ND-B14.5B	GD22775
CG15404	GD23214
CG3347	GD23216
CG3332	GD22768
CG9664	GD22767
CG9663	GD22766
CG15406	GD23217
CG3277	GD23218
Fign	GD22765
CG8837	GD23219
CG3285	GD23222
CG8838	GD23224
CG15412	GD22761
CG9662	GD22760
pgant2	GD22759
CG8840	GD23227
CG2772	GD12011
Snx1	GD23230
CG12795	GD23232
Cog3	GD22758
CG3246	GD22756
Pif1	GD22755
CG15414	GD22754
CG17593	GD23238
CG3213	GD22749
CG8851	GD23239
Sr-CIV	Sr-CIV
CG8852	GD23240
Spindly	GD22747
IFT57	GD23241
CG15418	GD22741
CG16704	GD22738
CG3513	GD22737
CG16713	GD22735
IM33	GD22734
CG3604	GD22733
CG10031	GD22732
CG2816	GD23247
CG2818	GD23248
CG10019	GD23251
bark	GD23256
CG3407	GD22726
CG3964	GD23261
Cep97	GD23262
CG15422	GD23265
CG15423	GD23266
CG2955	GD23272
CG3714	GD11991
CG3702	GD11988
Art2	GD22717
CG15429	GD23278
CG17612	GD22716
Vps53	GD22715
CG3652	GD22713
Dim1	GD23285
CG15431	GD22711
CG15432	GD23287
Elp3	GD23288
CG15439	GD22709
CG15440	GD22708
CG15435	GD23290
CG15443	GD22704
FIG4	GD23291
HP6	HP6
CG15635	GD23292
CG3355	GD23293
CG11929	GD23294
Elba3	GD23295
CG3251	GD22696
Taf12L	GD22694
CG15631	GD22693
CG15630	GD22692
CG3294	GD23299
Clect27	GD22691
CG15629	GD23300
CG3225	GD22690
CG15628	GD23301
Fnta	GD22689
Ir25a	GD22688
tank	GD22687
CG12194	GD23302
mxt	GD22686
CG11927	GD23303
mRpS2	GD22685
Mon1	GD27468
CG3008	GD23306
CG15625	GD23307
CG3036	GD23308
CG2837	GD22682
hoe2	GD11986
CG14044	GD29238
mRpL24	GD22680
jet	GD22679
Jon25Bii	GD22677
Marcal1	GD23310
CG3756	GD23312
CG14043	GD23313
mRpL28	GD23314
Gmd	GD22672
CG3792	GD23315
CG8891	GD22671
CG8892	GD22670
CG31917	GD22667
CG3887	GD28849
CG31650	GD11983
CG9121	GD14930
senju	GD27442
CG14036	GD22665
CG31918	GD22664
pgant5	GD11982
CG5828	GD23321
CG4230	GD23322
ND-13A	GD22662
Cyp28d1	GD23328
CG7742	GD22661
TpnC25D	GD23329
Bub1	GD23333
CG14024	GD22657
CG14022	GD28669
fusl	GD22654
CG12512	GD22652
CG14020	GD23344
CG7382	GD22650
Vps52	GD22649
CG6907	GD23347
CG7277	GD22648
tomb	GD26974
CG14015	GD29602
Oscillin	GD23349
CG14014	GD22647
CG18269	GD23350
CG14013	GD22646
CG14017	GD23351
CG14011	GD22644
CG7251	GD22643
CG18266	GD23354
DIP-eta	GD22641
Cyp6a16	GD22640
CG12511	GD23356
CG7236	GD23357
CG14007	GD22638
CG11149	GD14937
CG14006	GD28172
CG11147	GD22636
CG11029	GD23360
CG11030	GD23361
obst-E	GD22632
CG9171	GD22631
CG14005	GD22630
CG7239	GD23363
CG11034	GD23364
rau	GD22628
CG9029	GD23367
CG9021	GD22625
CG14000	GD28260
CG9044	GD23371
CG13999	GD22623
CG13992	GD22618
Ucp4C	GD23373
Ucp4B	GD23374
lid	GD22616
Tsp26A	GD23377
CG9098	GD22611
CG13996	GD23378
CG9107	GD22609
CG9109	GD22608
CG9117	GD22606
CG12393	GD23380
CG9135	GD23381
CG13995	GD27263
ND-51	GD22602
CG13994	GD23382
Fbw5	GD22601
CG9147	GD23383
CG9150	GD22600
Pfdn1	GD23384
CG9154	GD22599
CG9175	GD22598
WDR79	GD22597
CG9222	GD23390
CG13991	GD12024
CG13989	GD23393
AANATL2	GD23397
CG13983	GD22591
Pez	GD22589
CG9497	GD22588
CG9498	GD22587
ppk7	GD22586
ppk14	GD23404
CG9500	GD22585
CG9505	GD23405
CG9507	GD23407
CG13982	GD23408
CG9527	GD22578
retm	GD22577
frj	GD23410
Rchy1	GD22576
CG9531	GD22575
CG9536	GD22573
Daxx	GD23411
KFase	GD22571
Phf5a	GD22570
CG9547	GD22569
CG9550	GD23415
IFT52	GD22566
COX5B	GD23418
COX5BL	CoVb
CG9596	GD22565
CG13766	GD22564
CG11319	GD22563
CG11050	GD23421
DIP-iota	GD22562
Tango1	GD23423
CG13771	GD22557
Nse1	GD27149
CG11327	GD22551
Tsp	GD27031
Aatf	GD23427
TTLL3B	GD23429
TTLL3A	GD28058
CG11221	GD23430
LUBEL	GD22542
CG17378	GD23431
CG17377	GD29471
CG11236	GD23432
CG17375	GD28498
Nha1	GD22537
Nlg2	GD23437
Rat1	GD23438
CG18304	GD22530
Fgop2	GD22529
ihog	GD22528
Gas41	GD22526
CG13775	GD22525
CG3430	GD23441
Atac1	GD28579
CG10399	GD26827
sip2	GD29584
uif	GD22519
MME1	GD23447
Rab30	GD22516
Caper	GD23448
Mnn1	GD23452
Nuf2	GD22514
CG11289	GD23454
Pvf2	GD22513
MICU1	GD23455
CG4496	GD22510
CG4497	GD22509
CG4502	GD22508
CG13784	GD22507
CG13786	GD22502
Wnt6	GD23460
Wnt10	GD23462
CG5149	GD22498
gudu	GD23466
CG5160	GD22497
CG5171	GD23468
CG5177	GD23469
CG5181	GD22496
CG5958	GD22495
CG5973	GD23473
CG6055	GD23474
CG6441	GD23475
Cyp4d21	GD23477
CG6739	GD12026
CG18585	GD22482
CG7025	GD22481
CG7214	GD22472
ATPsynGL	GD23483
CG7191	GD23485
CG7164	GD23487
CG7154	GD23488
CG7149	GD22469
Herp	GD22467
r2d2	r2d2
cdc14	GD22466
CG14537	GD23493
CG14535	GD22463
spz3	GD22460
CG7102	GD22459
CG7231	GD23495
pes	GD11979
CG7227	GD22452
Sirup	GD23496
Wwox	GD22451
Spn28Dc	GD22449
CG12560	GD22448
Tg	GD23497
CG7367	GD22446
baf	GD23498
CCDC53	GD23500
RpL36A	GD29335
CG7466	GD23501
mon2	GD22441
CG8673	GD23504
CG12375	GD22440
CG8668	GD23505
PAPLA1	GD22438
CG8498	GD22437
CG8475	GD22435
CG8460	GD23511
PGAP5	GD23512
SLC5A11	GD22434
CG8419	GD23513
CG8372	GD22432
CG8360	GD23515
CG8353	GD23516
CG8349	GD23517
CG8292	GD22431
Snx6	GD22430
Pvr	GD22428
CG14277	GD23518
CG8086	GD22425
Scgalpha	GD23519
CG7840	GD23520
Ostgamma	GD22422
Mettl14	GD23521
CG7810	GD22421
CG7806	GD23522
strat	GD23523
CG7781	GD22419
CG14275	GD23524
CG14274	GD23525
CG14273	GD23526
CG7778	GD23527
CG7627	GD22415
CG17292	GD23531
Wdr82	GD23532
CG13390	GD22413
CG17294	GD23533
CG13392	GD22411
Rcd4	GD23534
CG13384	GD23535
CG13385	GD23536
CG13386	GD23537
CG13398	GD22402
CG13088	GD23549
Dh31	GD22397
Bace	GD27017
CG13096	GD22396
CG13097	GD22395
PIG-U	GD23551
mRpL51	GD22394
Uba4	GD28951
CG13091	GD23553
CG9287	GD22390
CG9289	GD22389
PrBP	GD22388
CG9314	GD23560
CG12438	GD23561
LManIII	GD22383
LManIV	GD22381
CG9483	GD23571
Tsp29Fa	GD27841
Tsp29Fb	GD23575
CG9510	GD22377
CG9515	GD22376
C1GalTA	GD22375
CG31886	GD22374
CG9525	GD22372
CG18088	GD23578
CG9541	GD22371
CG13101	GD22370
CG9568	GD23582
CG13102	GD23583
Rcd-1r	GD22367
CG9582	GD22366
CG12439	GD23584
Or30a	GD23587
CG13108	GD23590
CG9586	GD22364
aust	GD22363
borr	GD22362
CG17005	GD23594
CG3748	GD23597
CG13110	GD23598
CG4438	GD22357
Mco1	GD23601
FucTB	GD22356
CG3769	GD23605
CG33298	GD23608
CG31883	GD23609
Oatp30B	GD23610
CG17855	GD23611
Cpr30B	GD23612
CG13113	GD23613
CG13114	GD23614
CG3838	GD12392
CG3841	GD23616
CG4382	GD22348
GlcAT-S	GD23619
Apoltp	GD23620
CG4364	GD22342
CG13116	GD23624
CG13117	GD23625
CG4017	GD23628
CG17633	GD23629
CG4036	GD26983
CG13123	GD22334
nAChRalpha6	GD22333
CG4537	GD23633
mtDNA-helicase	GD22331
CG13124	GD22328
Etl1	GD22327
CG4598	GD23637
CG4594	GD23638
CG4592	GD23639
TbCMF46	GD22324
CG4619	GD23642
CG5853	GD22321
CG13126	GD22320
CG4709	GD23643
CG4658	GD23644
CG5846	GD22319
CG5850	GD22317
CG13131	GD22311
CG13127	GD23650
Spn31A	GD23656
CG13133	GD22307
CG4839	GD23660
CG13137	GD23661
Ripalpha	GD22299
CG5734	GD22297
CG5731	GD22296
CG5727	GD22295
CG4901	GD23663
CG4908	GD23665
CG5708	GD22293
CG5694	GD22292
eEF1delta	GD23666
CG5676	GD22288
REPTOR-BP	GD23670
CG4953	GD23672
CG4957	GD29397
Ufd4	GD22285
Hand	GD22284
CYLD	GD22283
CG13138	GD28995
CG5390	GD22278
CG4968	GD23674
Usp14	GD22275
CG4972	GD23675
CG5381	GD22273
CG4995	GD23676
Schip1	GD22271
CG5037	GD23677
GATAd	GD23678
Sps2	GD23681
CG5022	GD23682
CG5367	GD22268
CG5045	GD23683
lft	GD23685
CG5056	GD23686
dpr19	GD23687
gny	GD23688
CG5096	GD23689
mRpS7	GD23690
CG17768	GD22262
CG5355	GD22260
Klp31E	GD23697
RfC3	GD23698
CG5168	GD23699
CG5188	GD23701
Bug22	GD22257
TBC1D16	GD22256
holn1	GD23703
Nse4	GD23706
loh	GD23707
RluA-2	GD23709
CG7456	GD22250
CG6144	GD23711
CG13144	GD22249
CG6094	GD23712
CG7384	GD22247
Lip4	GD28358
CG18301	GD23714
CG18302	GD23715
CG6138	GD29502
CG7329	GD22241
CG17098	GD23721
CG7300	GD22236
CG6415	GD23726
CG6431	GD23727
CG6443	GD27904
CG17118	GD23728
EMC3	GD22233
Dpy-30L1	GD23729
Vha16-5	GD22230
CG12299	GD23730
CG6729	GD22229
CG17124	GD22228
CG6724	GD22226
CG17127	GD23732
CG6700	GD22222
CG12517	GD23741
CG14071	GD22214
CG14070	GD22212
CG7309	GD22211
CG14069	GD22210
CG14072	GD23742
YL-1	GD23743
CG16743	GD23744
Art8	GD22203
Samuel	GD22201
CG14913	GD23753
CG14915	GD23758
AstC	GD22198
AstCC	GD22197
CG16854	GD23760
Wdr59	GD23761
Reps	GD22195
CG6201	GD22194
CG14921	GD22192
Csl4	GD22191
CG4751	GD23765
CG6287	GD22186
CG4788	GD23769
Ppt2	GD23774
CG14926	GD22177
CG6488	GD22172
spz4	GD23779
Dlg5	GD22171
CG4970	GD23780
CG14929	GD23781
CG14930	GD22170
spag4	GD11975
CG6614	GD22162
CG12307	GD22161
CG4983	GD23784
CG4988	GD23786
Vha100-5	GD23787
CG14931	GD23788
CG14932	GD23789
Tsp33B	GD22159
CG14937	GD22158
CycY	GD22156
Mal-B1	Mal-B1
Mal-B2	Mal-B2
CG16964	GD23799
CG16965	GD23801
CG6686	GD22147
dgt2	GD23803
escl	GD23804
CG12264	GD23806
CG6746	GD22144
CG6734	GD22143
Tom70	GD22142
CG6766	GD22141
CG6785	GD22139
CG6770	GD22138
Plzf	GD22137
CG14945	GD23811
RpL7-like	GD23812
firl	GD22134
CG14947	GD23814
Pex19	GD23815
CG6712	GD22130
Ced-12	GD23817
CG17211	GD23821
rho-6	GD22127
Gr33a	GD23824
CG17217	GD23826
CG6583	GD22126
crok	GD23827
atilla	GD22125
CG17010	GD28477
CG6405	GD23836
CG5446	GD22122
CG6388	GD23837
CG5435	GD22121
Oatp33Ea	GD22119
CG5421	GD22118
Oatp33Eb	GD23840
Ref2	GD22109
CG15485	GD22107
CCT4	GD22106
CG6153	GD23848
CG5780	GD22104
PICK1	GD23849
CG5781	GD22103
CG17036	GD22102
CG5776	GD22101
spict	GD23850
CG6180	GD23851
CG5787	GD22099
Pih1D1	GD22098
MRP	GD23852
CG15483	GD22096
CG16800	GD23859
Vha68-3	GD23861
CG12404	GD22094
CG9934	GD22092
CG5142	GD23863
CG5122	GD23864
CG9928	GD22088
kmg	GD23866
DnaJ-H	GD22085
Sfmbt	GD22084
CG5439	GD23868
CG5287	GD23869
CG5458	GD23870
CG16974	GD22082
Edem2	GD23871
CG16972	GD22080
Pect	GD23872
CG15482	GD22079
kek4	GD28082
CG9426	GD11974
mRF1	GD26975
Ski6	GD11973
CG16812	GD23873
CG15480	GD22078
CG16813	GD23874
CG16815	GD23875
Prosalpha6T	GD23876
Mabi	GD22077
CG5945	GD23879
CG16820	GD23880
Uvrag	GD23884
CG16825	GD23886
CG16826	GD23888
CG9395	GD22070
CG9377	GD22069
CG6523	GD23891
ND-B22	GD22067
Bdp1	GD22066
CG6565	GD23894
CG9302	GD22065
loqs	loqs
Ing5	GD22064
CG7099	GD23897
RpL24	GD22063
CG16957	GD22062
CG10859	GD22061
CG7110	GD23898
CG16848	GD23899
CG16956	GD22058
CG9267	GD22057
Hsp60D	GD22056
CG9263	GD22054
CG16888	GD22042
Ance-2	GD23937
Ance-3	GD23939
CG16885	GD22029
CG4650	GD21989
CG18636	GD21987
CG4480	GD21983
CG15278	GD21982
CG15258	GD21959
CG13244	GD24027
CG13258	GD21925
CG4580	GD24059
Tpr2	GD24060
CG5953	GD21909
CG5968	GD21908
CG4631	GD24064
Trpgamma	GD11966
CG17996	GD21901
Prosbeta4	GD21900
CG17904	GD24076
ChLD3	GD24077
BuGZ	GD24078
yellow-b	GD24079
ppk17	GD21897
CG17928	GD24082
CG13280	GD11964
CG13282	GD21893
CG13283	GD17805
CG6012	GD21890
CG31743	GD24092
CG12288	GD21886
CG15136	GD21883
CG12620	GD24098
beat-IIIc	GD21879
CG15140	GD24105
CG6380	GD21878
Lrch	GD21875
Rpb11	GD21874
CG15141	GD24108
CG5043	GD24109
CG5050	GD24110
CG18563	GD21868
Sgt	GD24111
CG5110	GD24112
GCS2beta	GD21864
CG5131	GD12032
CG15142	GD21862
mEFTs	GD21861
CG15143	GD21860
CG15144	GD21859
CG15145	GD21858
CG7094	GD21857
Oli	GD24118
CG6870	GD21856
CG15147	GD21854
CG5674	GD24119
CG5681	GD17839
elfless	GD17803
CG15153	GD21847
CG5755	GD24129
CG15152	GD24130
CG5758	GD24131
CG17681	GD24132
CG15155	GD24133
CG5783	GD24134
CG7200	GD21842
CG5790	GD24137
CG10283	GD21831
grnd	GD24140
kon	GD21830
CG10178	GD12034
CG10211	GD24141
CG15160	GD24142
CG10413	GD21827
CG10333	GD24145
Atac2	GD21826
CG15161	GD21825
Cyp310a1	GD21824
MESR3	GD24146
CG10336	GD28109
CG10383	GD21816
CG10338	GD24150
CG10341	GD24151
CG10376	GD21815
CG10343	GD24152
Jwa	GD21814
Grip71	GD24153
Irk3	GD21812
CG10348	GD21811
CG15167	GD24155
CG17323	GD24159
CG10600	GD21806
CG17321	GD24162
mRpL13	GD21802
CG10602	GD21803
ssp3	GD21799
CG10428	GD24163
Nedd8	GD21798
CG10621	GD21797
CG10623	GD21796
Tango6	GD24165
L2HGDH	GD21794
CG10431	GD24166
Swip-1	GD21793
CG15168	GD24167
CG15170	GD21792
CG15169	GD24168
CG15172	GD24171
Sidpn	GD24173
Ttc19	GD21786
CG10470	GD24177
CG10492	GD24179
Phlpp	GD24180
CG10495	GD24181
CG10702	GD21784
CG17572	GD21783
CG10700	GD21781
CG17344	GD24183
CG17568	GD21772
CG17564	GD21768
CG10750	GD24193
CG13086	GD24195
CG17349	GD24196
CG17350	GD24197
fon	GD21766
CG17549	GD21765
CG17544	GD21764
CG16771	GD24203
CG13085	GD24204
RtcB	GD24205
Rab9	GD24206
CG10237	GD21760
CG10026	GD24208
CG10195	GD21756
CG13084	GD24210
CG13083	GD24211
CG10194	GD21755
CG18094	GD24212
CG10189	GD21754
CG10188	GD21752
Hasp	GD21751
CG10132	GD24216
CG10166	GD21748
CG10137	GD24217
CG10165	GD21747
CG13082	GD24220
CG13081	GD24221
CG10337	GD21746
CG13078	GD24226
CG13077	GD24227
CG10268	GD21744
Hakai	GD21743
PCNA2	GD21742
CG10366	GD24229
CG10462	GD21740
Nf-YB	GD24231
CG10631	GD21737
CG10628	GD21736
CG10463	GD24232
fbp	GD21735
CdGAPr	GD21733
CG10466	GD24233
CG13962	GD21731
CG10481	GD21730
COX4	CoIV
CG13965	GD21726
CG16772	GD24237
CG10680	GD24238
CG10659	GD21720
sNPF	GD24240
CG10730	GD21718
CG10747	GD21715
CG10721	GD12037
Taf13	GD11962
nesd	GD24245
mRpS18B	GD21714
Kua	GD24246
